-93.5638910692	30.0606039115
-93.7138102047	30.0687071948
-93.9045875668	29.7579147693
-93.8258315487	29.573927349
-93.6645452742	29.6725152447
-93.4197835522	29.6813250772
-93.1493133651	29.6744741328
-92.802447659	29.5551412939
-92.4857364378	29.4776700756
-92.1868467754	29.4647584191
-92.0618275561	29.492702413
-91.8376335861	29.3319751219
-91.5154928235	29.3293146232
-91.1211150892	29.1461809617
-90.9453174304	29.0364784986
-90.5704151716	28.9825930748
-90.2797259989	28.9857125985
-89.9629211333	29.1327573557
-89.5069017658	29.2097504222
-89.3953020228	29.1453392097
-89.3747935211	28.962137375
-89.3788110151	28.9063443603
-89.2945856703	28.8854804251
-89.170657105	28.9934401037
-89.112762726	28.9943364165
-89.0205169948	28.9454525779
-88.8788370263	29.1203531039
-88.8301995236	29.2046263102
-88.8333087162	29.2881392006
-88.9641101925	29.3195791987
-89.0529006057	29.445904146
-89.0223843855	29.496393233
-88.9774692031	29.5082689892
-88.7529063349	29.7951673499
-88.7126461163	29.9790162621
-88.8230661127	30.1821134482
-89.0389810361	30.1996941009
-89.1571878572	30.2357500182
-89.2797590432	30.21073586
-89.4732143119	30.1893823543
-89.6944592872	30.2442505142
-89.857188534	30.1239533347
-89.8072452579	29.9930304957
-89.5774837022	29.8610423758
-89.7316532071	29.8626672674
-89.8978202951	29.8527272123
-89.9647064149	29.7681855237
-89.6675876895	29.5384510257
-90.0216553778	29.7555746293
-90.1282678139	29.8627298578
-90.2313691986	29.8871919693
-90.3618364062	29.8116015791
-90.5307595303	29.7511647494
-90.300734288	29.5820907231
-90.1792691684	29.2819910675
-90.3604294942	29.4975738575
-90.467108934	29.4722202579
-90.5293707536	29.4481909777
-90.6147516391	29.2467481187
-90.6073556054	29.4897799042
-90.6445126607	29.4720195916
-90.6613344383	29.2949301369
-90.6968934367	29.3765309501
-90.7555968082	29.413157451
-90.7169527386	29.5302179677
-90.9660684507	29.5765614046
-91.1462215007	29.6359328473
-91.1987879717	29.5513583371
-91.2225579296	29.6440166817
-91.2876868474	29.5589194233
-91.3900789087	29.5823806409
-91.5162562619	29.5772397056
-91.5104801779	29.704050539
-91.6581719418	29.7418852453
-91.8645054072	29.6944244949
-91.7323054855	29.8212242431
-91.8382108836	29.8991250156
-91.9641808336	29.8825516976
-92.1222760073	29.7652994117
-92.2935967067	29.7627395176
-92.4865005234	29.8965973053
-92.7662404072	29.9763141105
-92.9103657875	30.0240703349
-93.0204808474	29.9465790105
-93.2417095821	29.9844129552
-93.3488579414	30.0393594209
-93.5097988822	30.0304320608
-93.5689061694	29.9551285848
-93.5638910692	30.0606039115
