-89.857188534	30.1239533347
-89.8072452579	29.9930304957
-89.5774837022	29.8610423758
-89.7316532071	29.8626672674
-89.8978202951	29.8527272123
-89.9647064149	29.7681855237
-89.6675876895	29.5384510257
-90.0216553778	29.7555746293
-90.1282678139	29.8627298578
-90.2313691986	29.8871919693
-90.3618364062	29.8116015791
-90.5307595303	29.7511647494
-90.300734288	29.5820907231
-90.1792691684	29.2819910675
-90.3604294942	29.4975738575
-90.467108934	29.4722202579
-90.5293707536	29.4481909777
-90.6147516391	29.2467481187
-90.6073556054	29.4897799042
-90.6445126607	29.4720195916
-90.6613344383	29.2949301369
-90.6968934367	29.3765309501
-90.7555968082	29.413157451
-90.7169527386	29.5302179677
-90.9660684507	29.5765614046
-91.1462215007	29.6359328473
-91.1987879717	29.5513583371
-91.2225579296	29.6440166817
-91.2876868474	29.5589194233
-91.3900789087	29.5823806409
-91.5162562619	29.5772397056
-91.5104801779	29.704050539
-91.6581719418	29.7418852453
-91.8645054072	29.6944244949
-91.7323054855	29.8212242431
-91.6597116998	29.8860410827
-91.7860477608	29.9604112026
-92.0762749169	30.4546044677
-92.0371976836	30.5586820468
-92.4972921351	31.1663278486
-92.7738684092	31.3699622217
-92.5692877149	31.3648304155
-92.4390266397	31.3125690839
-92.1701638344	31.0102026293
-92.0354692379	31.0222091488
-92.1117193022	31.1850233804
-92.0271831995	31.4599126218
-91.9470629032	31.577380481
-91.4578846008	31.5484303844
-91.5390269885	31.4780361946
-91.5046841821	31.3434845101
-91.5449077379	31.255889781
-91.6799722664	31.2557702686
-91.6187119459	31.1625736676
-91.6318942562	31.1043524404
-91.544041768	31.0288537282
-91.6111283684	30.9881298524
-91.3755817829	30.7390859286
-91.2217973977	30.5483843807
-91.1686517927	30.3983900513
-90.9957278233	30.3002357632
-90.8429786595	30.2250481968
-90.8025972103	30.2940427708
-90.5891211523	30.3106137358
-90.5353371923	30.3507491918
-90.5748940971	30.4028080531
-90.3741489829	30.4192526032
-90.2403472754	30.4127902043
-90.126523451	30.4063545263
-89.9003452903	30.2950799185
-89.7799247991	30.2710072416
-89.659269805	30.2526112619
-89.857188534	30.1239533347
