-110.42324,44.70518
-110.43653,44.70328
-110.45512,44.69762
-110.46835,44.67883
-110.46562,44.66008
-110.45492,44.64321
-110.44957,44.63572
-110.43622,44.62073
-110.42023,44.61325
-110.40158,44.60391
-110.38559,44.59456
-110.35896,44.58523
-110.33766,44.58152
-110.31371,44.57593
-110.29243,44.57597
-110.27382,44.57788
-110.25790,44.58730
-110.24464,44.59670
-110.22871,44.60423
-110.22877,44.61924
-110.23412,44.62862
-110.25014,44.64547
-110.25816,44.65483
-110.27680,44.66230
-110.29281,44.67541
-110.31409,44.67912
-110.32742,44.68660
-110.34341,44.69408
-110.35938,44.69592
-110.38332,44.69775
-110.39396,44.69961
-110.40726,44.70146
-110.42324,44.70518
